ID,Project_ID,Project_Title,Donor_or_Lender,CIDA_Donor_Format,Multi_Single,Partner,Total_Cost,Currency_used,Sector_Code,Total_disbursement_to_date,Project_funding_type,Approval_Date,Name_of_Implementing_Agency,Telephone_for_EA,Fax_for_EA,www_address,Targeted_Beneficiaries(HH),Targeted_individuals,Targeted_Group,Address,Email,Objective,Components,Planned_Project_Outputs,Indicators,Start_Date,Completion_Date,Date_of_data_entry,District_Coverage
100,100,Malawi’s Lake Basin Programme,NORAD,,,,27900000,9,31120,"24,223,000",0,05/01/2006,"National Smallholder Farmer’s Association of Malawi (NASFAM), Farmers Union of Malawi (FUM), Malawi Union of Savings and Credit Co-operatives (MUSCCO), Agroforestry and Swedish Cooperative Centre.",01 772 707,01 772 708,www.utangranser.se,310000,0,"Fishermen organisations and local farmers and fishermen associations, clubs, co-operatives and unions."," P/Bag B358, Lilongwe",marcelo.dougnac@sccrosa.org,"1. To build and strengthen democratic member-based and member-driven organisations that effectively represents the socio-economic and political interests of farmers and fishermen in Mangochi and Salima districts. _x000D_
_x000D_
2. To reduce poverty and improve the livelihoods and incomes of rural households in Mangochi and Salima districts through productive and sustainable management of agriculture and fisheries","1. Business Development, Organisation Development and Democracy_x000D_
 _x000D_
2. Agriculture, Fisheries and Community Based Management of Natural Resources.","Business and Organisation Development and Democracy:_x000D_
_x000D_
1. Effective democratic farmer organisations with representative structures at national, district and local level established _x000D_
_x000D_
2. Effective member-driven systems for the procurement of inputs and marketing of produce developed and implemented_x000D_
_x000D_
3. Appropriate microfinance products and services developed and available to rural households in Salima and Mangochi_x000D_
_x000D_
4. Strategies for social and economic empowerment of women developed and implemented_x000D_
_x000D_
5. Strategies for preventing and mitigating the effects of HIV and AIDS developed and implemented_x000D_
_x000D_
Agriculture, Fisheries and Community Based Management of Natural Resources:_x000D_
_x000D_
1. Productivity enhancing approaches and technologies developed and implemented_x000D_
 _x000D_
2. Alternative productive and sustainable livelihood opportunities explored and developed_x000D_
_x000D_
3. Plans for community based management of land and water resources implemented_x000D_
 _x000D_
4. Strategies for social and economic empowerment of women developed and implemented_x000D_
 _x000D_
5. Trategies for preventing and mitigating the effects of HIV and AIDS developed and implemented.","1. Number of effective democratic farmer organisations with representative structures at national, district and local level established._x000D_
 _x000D_
2. Number of effective member-driven systems for the procurement of inputs and marketing of produce developed and implemented_x000D_
_x000D_
3. Number of appropriate microfinance products and services developed and available to rural households",05/01/2006,12/31/2012,02/22/2010,"Salima,  Mangochi"
101,101,Study on Capacity Development of Smallholder Farmers for the Management of Self Help Irrigation Schemes (Medium Scale),JICA,,,Malawi Government (GoM),2500000,0,31140,"1,050,000",3,10/13/2006,"_x000D_
Ministry of Irrigation and Water Development (MoI&WD)",01 753 873/01 752 122/01 751 177, 01 753 873/01 751 459,,1500,0,Smallholder farmers and Government Staff,"P.O. Box 30797, Lilongwe3", irrigation@sdnp.org.mw,"1. To formulate action plan for the improvement of crop productivity in the existing self help irrigation schemes (medium scale)._x000D_
_x000D_
2. To formulate development plan for the self help irrigation schemes (medium scale) in the potential irrigable area._x000D_
_x000D_
3. To carry out capacity development of Malawi counterpart personnel as well as of the communities concerned in the course of the study.",1. Irrigation scheme.,"1. Irrigation development plans._x000D_
_x000D_
2. Improved crop productivity.",1. Number of irrigation schemes.,10/13/2006,11/12/2011,12/04/2009,Country-wide
102,102,Community Therapeutic Care (CTC) Program,Scottish Executive International Development Fund,,,"DHO Lilongwe, DHO Nsanje, _x000D_
Christian Health Association of Malawi (CHAM)",250000,3,12310,"170,903",2,11/01/2006,Concern World Wide (CWW), 01 776 811, 01 776 815, www.concern.net,,5000,"Severe acute malnourished under 5, pregnant and lactating mothers","P.O Box 1747, Lilongwe",musha.akm@concern.net,"1. To strengthen the communities and District Health Department’s capacity to manage severe acute malnutrition among children under 5 in the Lilongwe and Nsanje Districts through the use of Community Therapeutic Care (CTC)._x000D_
_x000D_
2. To operate and manage CTC projects alongside partners in both the Lilongwe and Nsanje districts, treating 5000 children suffering from severe acute malnutrition._x000D_
_x000D_
3. To advocate for the adoption of the CTC approach into National Health Strategy and policy.","1. Community Therapeutic Care programme_x000D_
_x000D_
2. Advocacy","1. DHO staff of Lilongwe and Nsanje, at district and below levels, demonstrate the skills and   capacities to manage CTC program._x000D_
_x000D_
2. Effective mechanism for identification, _x000D_
referral to Outpatient Therapeutic Program (OTP), home management and _x000D_
follow up of SAM cases established at all _x000D_
targeted communities in Lilongwe district._x000D_
_x000D_
3. Effective treatment of severe Acute _x000D_
malnutrition in children under five according to the sphere guidelines."," 1. Malnutrition rate among <5 children and P&LW reduced._x000D_
_x000D_
2. Number of OTP centre established/ functions during/beyond the food crisis period 2005/6._x000D_
_x000D_
3. Number of children treated during/beyond the food crisis period 2005/6._x000D_
_x000D_
4. % of identified children with complications referred/ treated at NRU during/beyond  the food crisis period 2005/6._x000D_
_x000D_
5. Cure rate meets sphere standard during and beyond  the food crisis period 2005/6",11/17/2006,12/31/2010,01/22/2010,"Lilongwe, Nsanje"
103,103,Animal Health Service Improvement project,Malawi Government,,,,528000000,7,31195,"102,104,000",7,07/01/2006,Ministry of Agriculture and Food Security (MoAFS) – Department of Animal Health and Livestock Development (DAHLD),01750 455/08 859 328,01 751 349,www.moafsmw.org,0,0,Smallholder livestock farmers and medium-to-large scale livestock farmers,"P/Bag 2096,  Lilongwe.",agric-DAHI@sdnp.org.mw,To improve animal productivity and increase production through improved animal health service delivery,"1. Strengthening of Veterinary Laboratory Services _x000D_
_x000D_
2. Improvement of Animal Disease Surveillance _x000D_
_x000D_
3. Improving animal disease control_x000D_
_x000D_
4. Construction of quarantine infrastructures","1. Institutional livestock buildings rehabilitated_x000D_
 _x000D_
2. Professional and technicians trained in laboratory diagnostic procedures_x000D_
_x000D_
3. Disease surveillance in all strategic points strengthened","1. No. of specimen processed by the labs _x000D_
_x000D_
2. No. of diseases diagnosed_x000D_
 _x000D_
3. No. of staff trained _x000D_
_x000D_
4. No. of quarantines rehabilitated_x000D_
_x000D_
5. No. of labs equipped with basic equipment and supplies.",07/01/2006,06/30/2012,01/23/2010,Country-wide
104,104,Up-Scaling Production of Breeder and Basic Seed and Livestock to enhance adoption of improved Agricultural Technology by Smallholder Farmers,Malawi Government,,,,800000000,7,31183,"230,000,000",7,07/01/2006,Ministry of Agriculture and Food Security (MoAFS) –Department of Agriculture Research Services (DARS),01 707 011,01 707 374,www.moafsmw.org,0,0,"Small Scale seed producers, commercial seed producers and NGOs","P.O. Box 30779, Lilongwe 3.",agric-research@sdnp.org.mw,"To produce and make available adequate amounts of breeders and basic seeds of legumes, cereals, pastures, horticultural crops and adequate herds of improved animals for various breeds in order to enhance their productivity","1. Technology Generation _x000D_
_x000D_
2. Up scaling adoption of Technology","1. Pre-basic and basic seeds produced _x000D_
_x000D_
2. Clean cassava and sweet potato cuttings produced_x000D_
 _x000D_
3. Agro processing facilities developed_x000D_
 _x000D_
4. Propagated fruit seedlings produced_x000D_
_x000D_
5. Improved livestock breeds_x000D_
 _x000D_
6. Farmers trained in seed production_x000D_
_x000D_
7. Good animal husbandry","1. Number of agro processing facilities_x000D_
_x000D_
2. Number of improved breeds_x000D_
_x000D_
3. Quantity of fruit trees seedlings_x000D_
_x000D_
4. Quantity of clean cassava cuttings and sweet potato vines production",07/01/2006,06/30/2012,02/22/2010,Country-wide
105,105,Small Stock Development Project,Malawi Government,,,,120000000,7,31163,"76,793,630",7,07/01/2006,Ministry of Agriculture and Food Security (MoAFS) – Department of Animal Health and Livestock Development (DAHLD),01 750455/08 859 3228,01 751 349,www.moafsmw.org,0,300,Smallholder farmers,"Box 2096, Lilongwe.",agric-DAHI@sdnp.org.mw,To increase participation of smallholder farmers in livestock production,"1. Livestock production _x000D_
_x000D_
2. Training of farmers_x000D_
_x000D_
3. Crop production","1. Ownership of small stocks increased_x000D_
_x000D_
2. Uptake of animal protein increased_x000D_
 _x000D_
3. Crop productivity increased and Farmer resilience to shocks improved_x000D_
_x000D_
4. Small stock disease incidences reduced_x000D_
_x000D_
5. Delivery of small stock programmes/activities improved","1. No. of small stocks provided by the project_x000D_
_x000D_
2. Increase in uptake of proteins_x000D_
 _x000D_
3. Increase in crop production",07/01/2006,06/30/2012,02/22/2010,Country-wide
106,106,"Malawi Programme on Sustainable Livelihoods, HIV, AIDS Support",OXFAM,,,,9655132,3,43040,"7,053,289",3,02/01/2007,"Evangelical Lutheran Development Services, Blantyre Synod Development Commission, CICOD and CARD, World Alive Ministries, Friends of Orphans Community Caring Center, Shire Highlands Milk Producers Association (SHMPA), MEDI, Malawi Carer, MSH, MEJN, MHEN,",01 770 525/489,       01 770 491,www.oxfam.org.uk,20000,100000,Rural farmers,"P/Bag B331, Lilongwe 3",SAwasthi@oxfam.org.uk,"1. To increase  increased food and income securityfor the Poor and vulnerable households_x000D_
_x000D_
2. To increase  food and income security for the Poor and vulnerable households _x000D_
_x000D_
3. To increase  equitable access to quality HIV & AIDS services for the Poor and vulnerable households _x000D_
_x000D_
4. To increase the  capacity to respond to disasters and chronic vulnerability communities, partners and government _x000D_
_x000D_
5. To influence the  actively participation in and influence governance at all levels of the Poor and vulnerable citizens_x000D_
_x000D_
6. To increase gender equality and empowerment of women","1. Livelihoods promotion and protection/Food and Income security_x000D_
_x000D_
2. HIV & AIDS and essential Services_x000D_
_x000D_
3. Emergency preparedness and  Response_x000D_
_x000D_
4. Governance_x000D_
_x000D_
5. Gender Equality and Empowerment of women","1.  9,025 Farmers trained in and practising improved natural resources management practices,_x000D_
_x000D_
2. 2,134 Farmers provided with/utilizing inputs_x000D_
1. 250 CHBC groups established and 7,500 People receiving community home based care _x000D_
_x000D_
2. 64.9% of People going for HIV testing and Counselling_x000D_
_x000D_
3. 175 CBCC centres established and supported._x000D_
_x000D_
4. OVC provided with bursaries/fees_x000D_
_x000D_
5. 40 OVC trained and provided with start up kits._x000D_
_x000D_
6. 92.1%  availability of and access to condoms_x000D_
_x000D_
7. community based structures/institutions (eg civil protection committees, community based educators and VSUs) established and trained._x000D_
 _x000D_
8. Women participating in decision making_x000D_
_x000D_
9. Campaigns implemented on Gender based Violence; harmful cultural practices & access to med._x000D_
_x000D_
10. campaigns conducted in favour of  increased representation and participation of women in decision making processes. _x000D_
_x000D_
11. Advocacy on input subsidy implemented","1. Proportion of households who report reduction of hunger period/proportion of households with adequate food supplies for more than 9 months or throughout the year. Or % of hhs with food stocks in critical months (Dec-Mar)_x000D_
_x000D_
2. %  of households with increased household income_x000D_
_x000D_
3. Average increase in annual household income. _x000D_
_x000D_
4. Proportion of farmers practicing modern farming technologies._x000D_
_x000D_
5. % of PLWHAs accessing ART_x000D_
_x000D_
6. Proportion of people accessing HIV and AIDS support services by type (i.e post test clubs, HTC services, youth clubs, CHBC, referral, psychosocial support)_x000D_
_x000D_
7. % access to condoms_x000D_
_x000D_
8. % of OVC accessing education  bursaries/fees_x000D_
_x000D_
9. Proportion of OVC who return to school (following provision of educational support such as uniforms and scholastic materials)_x000D_
_x000D_
10. % OVC trained who are making use of vocational skills._x000D_
_x000D_
11. % reduction in harmful cultural practices that fuel HIV spread._x000D_
_x000D_
12. % increase in budgetary allocation to health services_x000D_
_x000D_
13. Proportion of people accessing essential medicines in rural health facilities_x000D_
_x000D_
14. Proportion of households growing drought resistant/tolerant crops._x000D_
_x000D_
15. Proportion of households accessing social protection interventions_x000D_
_x000D_
16. % of households  practising irrigation technologies / winter cropping._x000D_
_x000D_
17. Proportion of households with emergency coping capability/emergency survival strategies_x000D_
_x000D_
18. Proportion of local governance structures engaging with district assemblies_x000D_
_x000D_
19. % of population who indicate responsiveness and accountability of governance structures._x000D_
_x000D_
20. % of households who participate in community decision making processes_x000D_
_x000D_
21. Proportion of population who indicate decline in GBV (reduction in women’s and girls vulnerability to GB violence)_x000D_
_x000D_
22. Prop. of population who indicate reduction in incidence of harmful cultural practices_x000D_
_x000D_
23. % of population who indicate increased participation of women in community and household decision making processes._x000D_
_x000D_
24. Proportion of women involved in community decision making processes_x000D_
_x000D_
25. % increase in women’s participation and representation in political decision making_x000D_
_x000D_
26. Access to and control over productive resources by women. _x000D_
_x000D_
27. % of women and girls with knowledge and skills to protect themselves from HIV and AIDS_x000D_
_x000D_
28. Input subsidy policy formulated and enacted _x000D_
_x000D_
29. Admarc restructuring bill revised and passed by parliament.",02/01/2007,03/31/2010,02/08/2010," Thyolo, Phalombe, Chiradzulu, Balaka, Blantyre"
107,107,Aquaculture for improved rural livelihoods: Development and dissemination of innovative fish farming technologies,ARDEP,,,"Department of Fisheries, University of Malawi, World Vision Malawi",139850,5,31320,"123,000",3,09/01/2007,World Fish Center (WFC),01 536 313,01 536 274,www.worldfishcenter.org,500,2500,Rural farmers,"Box 229, Zomba",worldfish-malawi@cgiar.org,"To increase incomes, food production and enhancing nutrition security in Malawi, through the development of a viable commercial small-scale aquaculture sector.","1. Quality fingerling production and dissemination of improved Oreochromis shiranus._x000D_
_x000D_
2. Formulation of cost-effective plant-based based fish feed._x000D_
_x000D_
3. Improvements in management practices._x000D_
_x000D_
4. Development of market channels to facilitate sales of table size fish.","1. Increased production from the current 37 tonnes per year to 56 tonnes in the targeted area by the end of the project period._x000D_
_x000D_
2. Adoption of improved management technologies by 500 farmers._x000D_
_x000D_
3. Market access for at least 20% of the Chingale farmers to more lucrative urban and peri-urban markets","1. 50% improvement in feed conversion ratio and cost efficiency500 farmers adopt improved fish production package._x000D_
_x000D_
2. 56 tonnes produced by 500 farmers who will adopt improved fish farming technology package._x000D_
_x000D_
3. Number of staff and farmer trainings._x000D_
_x000D_
4. 20% of farmers access lucrative markets.",11/01/2007,09/30/2010,01/12/2010,Zomba
108,108,Fisheries and HIV/AIDS in Africa – Investing in sustainable solutions,Swedish International Development Agency,,,"Department of Fisheries, University of Malawi",254690,5,43040,"235,200",3,02/01/2007,World Fish Center (WFC),01 536 313,01 536 274,www.worldfishcenter.org,0,0,"Fishermen, fish traders, consumers",,worldfish-malawi@cgiar.org,"1. Improved knowledge base on the trends and risk factors of HIV/AIDS in the fisheries sector._x000D_
_x000D_
2. Viable investment options to reduce vulnerability and increase mitigation capacity in the fisheries sector and generate benefits for populations at risk in wider society._x000D_
_x000D_
3. Improved policies, institutions and processes for dissemination and investment in best practice.","1. Knowledge base on HIV/AIDS in Fisheries Sector improvement._x000D_
_x000D_
2. Viable investment options to reduce vulnerability and increase mitigation measures._x000D_
_x000D_
3. Policy influence","1. Knowledge products; Capacity for research and information exchange._x000D_
_x000D_
2. Investment proposals; Good practice guidelines._x000D_
_x000D_
3. Improved policies and investment plans.","1. Key risk factors identified and reports disseminated to key agencies and stakeholder groups._x000D_
 _x000D_
2. Stakeholders informed of HIV/AIDS trends in the fisheries sector through NAC and their stakeholder networks _x000D_
3. Guidelines of Good Practice published and disseminated._x000D_
 _x000D_
4. Models developed for community investments for Fisheries in the Nacala Corridor._x000D_
_x000D_
5. Two policy meetings take place in years 2 and 3, involving SADC, COMESA, ECOWAS and EAC",02/01/2007,03/30/2010,02/22/2010,"Mangochi, Machinga, Chikwawa, Nsanje"
109,109,Farmer Artificial Insemination Technician Foster Project,JICA,,,,4000000,7,31195,"3,102,000",2,11/13/2006,Ministry of Agriculture and Food Security (MoAFS) Department of Animal Health and Livestock Development (DAHLD),01 751 349,01 751 349,www.moafsmw.org,0,0,Livestock farmers,Box 31131 Lilongwe,wglipita@hotmail.org,To facilitate the training of farmers and deliverance of Artificial Insemination Services,"1. Farmer Artificial Insemination Training_x000D_
_x000D_
2. Artificial insemination","1 Farmer Artificial Insemination Trained_x000D_
_x000D_
2 The system of artificial insemination is strengthened","1. 96 trainees attend AI training._x000D_
_x000D_
2. 86 FAITS are trained _x000D_
_x000D_
3. 86 FAITS attend pregnancy diagnosis_x000D_
_x000D_
4. Number of association meetings_x000D_
_x000D_
5. More than one manual is produced_x000D_
_x000D_
6. Number of pieces of advice to FAITS by JOCV_x000D_
Number of AI meetings_x000D_
_x000D_
8. Number of distributions of frozen semen and liquid Nitrogen_x000D_
_x000D_
9. Number of AI Reports_x000D_
_x000D_
10. Number of evaluations conducted_x000D_
_x000D_
11. AI technician directory_x000D_
_x000D_
12. Equipment management record_x000D_
_x000D_
13. Number of dealers in AI supplies",11/01/2006,11/30/2011,01/29/2010,Country-wide
110,110,Development Credit Authority (DCA),USAID,,,,2000000,5,32130,"1,200,000",5,09/01/2006,"INDE Bank, Standard Bank, OIBM",01 772 455,01 773 181,,0,1235," Micro, small and medium side agro enterprises","P.O. Box 30455, Lilongwe 3",vlangdon-morris@usaid.gov,"1. To provide longer term currency loans more available to small and medium enterprises and seasonal agricultural activities. _x000D_
_x000D_
2. On longer time period to help the banking industry become more comfortable lending to agriculture and agri-business by demonstrating the profitability of this sector.   _x000D_
_x000D_
3. To promote competition as other banks enter the market, driving down interest rates for consumers.",Rural and Agricultural Finance,"1. 10 firms accessed financing _x000D_
_x000D_
2. 250 new jobs _x000D_
_x000D_
3. Mobilized $US2million _x000D_
_x000D_
4. Increase value-added (to be determined)_x000D_
_x000D_
5. Increase on farm income (to be determined)_x000D_
_x000D_
6. Growth in agricultural sector","1. Number of agriculture-related firms benefiting from interventions as a result of USG assistance._x000D_
_x000D_
2. Amount of private financing mobilized with a DCA guarantee.",09/01/2006,12/31/2010,02/24/2010,Country-wide
111,111,Chingale ADP-Mkawa CBO,World Vision USA,,,,85000,5,31120,"40,716",3,10/01/2003,World Vision Malawi (WVM),01 524 010,01 526 429,www.wvi.org,,4215,"Vulnerable children (OVCs), people living with AIDS (PALWA), elderly and smallhoder farmers","P.O. Box 650, Zomba",harry_wala@wvi.org,To improve household food security among 300 households inMkawa Village,"1. Crop production._x000D_
_x000D_
2. Livestock (goats) production",Increased household food availability,"1. Percentage of households with food throughout the year_x000D_
_x000D_
2. Percentage increase in yield crop production",10/01/2003,12/31/2011,02/08/2010,Zomba
112,112,Mpherere Area Development Pprogramme,World Vision South Korea,,,"Ministry of Agriculture and Food Security, Ministry of Education, Ministry of Health, Department of Forestry, Ministry of Community Services",3500000,5,43040,"1,234,000",3,05/01/2006,World Vision Malawi (WVM),01 285 322,01 285 322,,15875,79375,Smallholder farmers,"P/Bag 41, Ntchisi",dhaka_mazunzo@wvi.org,"To improve the livelihoods for 70,000 people of Mpherere by 2023","1. Food Security_x000D_
_x000D_
2. Education_x000D_
_x000D_
3. Health","1. 5600 households growing horticultural crops and legumes_x000D_
_x000D_
2. 28 School blocks,50 teachers houses, 56 toilets, 5 bridges provided_x000D_
_x000D_
3. Under five children in Mpherere fully immunized and covered in vit. A supplementation","1. Number of households growing fruits and vegetables_x000D_
_x000D_
2. No. of school blocks built_x000D_
_x000D_
3. No. of teachers houses built_x000D_
_x000D_
4. No. of toilets built_x000D_
_x000D_
5. No. of bridges built_x000D_
_x000D_
6. No. of under five children fully immunized and receive vit A.",05/01/2006,12/31/2010,12/04/2009,Ntchisi
113,113,Sustainable agriculture programme to address food insecurity in the Central and Southern Regions of Malawi,European Union (EU),,,,1605258,2,31120,"856,000",3,12/18/2007,InterAide,01 761 779,01 761 779,www.interaide.org,19620,98000,Rural farmers,P.O. Box 31405 Lilongwe 3,fabrice@africa-online.net; interaide@africa-online.net,To improve food security and livelihoods of agriculture dependent poor households in a sustainable manner by optimising agricultural practises and raising incomes,"1. Creation of seed banks _x000D_
_x000D_
2. Land husbandry _x000D_
_x000D_
3. Crop diversification _x000D_
_x000D_
4. Associations","1. 100% of project targeted households have access to high quality improved and diversified seed varieties (maize and leguminous) and planting materials (roots and tubers_x000D_
_x000D_
2. 90% of the trained beneficiaries adopt specific recommended technologies/practices_x000D_
_x000D_
3. 1125 beneficiaries are trained and involved in small scale irrigation in dimbas during the winter season every year_x000D_
_x000D_
4. The average income per farmer, realised through winter cropping, is equivalent to a minimum of 2 months of food security_x000D_
_x000D_
5. Increase in production per unit of irrigated crops_x000D_
_x000D_
6. More than 150 000 chickens are vaccinated every quarter through community vaccinators (600 000 per year)_x000D_
_x000D_
7. No out break of the Newcastle disease are reported in the impact areas_x000D_
_x000D_
8. 1000 farmers market their cash crop at a higher price than local markets thanks to the intervention of the Nathenje Union of producers_x000D_
_x000D_
9. The Union of producers are sustainable after a period of 4 years","1. The proportion of households with energy food reserves in critical months Increase by 90% _x000D_
_x000D_
2. Increase the percentage in real household income for farmers involved in marketing activities(MOAFS impact indicator)_x000D_
_x000D_
3. The number of households that are adopting irreversible coping strategies reduction by 50% _x000D_
_x000D_
4. The percentage in total annual food crop production increase by 50% _x000D_
_x000D_
5. The poverty index of the direct and final beneficiaries decreases",12/19/2007,12/18/2011,06/02/2009,"Lilongwe, Zomba, Phalombe"
114,114,Captive Fisheries for Income and Strengthened Households (C-FISH),USAID,,,"WorldFish Center, Institute for Social and Economic Development, BetterWorld Together Foundation, The United States Soybean Export Council, Maldeco, Rift Valley Fisheries, Opportunity International Bank Malawi",1011903,5,31320,"705,600",3,10/01/2007,Project Concern,01 536 313,01 536 274,www.projectconcern.org,1177,0,Smallholder fish producers and small and medium enterprises,P.O. Box 1089 Zomba,dmullen@pcimalawi.org; inquiries@pcimalawi.org,"1. To create sustainable Fish Production and Breeding training program_x000D_
_x000D_
2. To develop affordable, soy-based fish feed that is produced using appropriate technology and local manufacturing_x000D_
_x000D_
3. To improve tilapia fingerling production and distribution_x000D_
_x000D_
4. To develop credit systems for C-FISH program participants_x000D_
_x000D_
5. To improve tilapia production, market access and transportation to urban and peri-urban markets","1. Sustainable business development and technical assistance_x000D_
_x000D_
2. Development of an affordable, plant-based, fish feed_x000D_
_x000D_
3. Improving Tilapia fingerling selection, production and distribution_x000D_
_x000D_
4. Increasing availability of producer and/or supplier credit mechanisms_x000D_
_x000D_
5. Increasing the number of women producers_x000D_
_x000D_
6. Creation of linkages, marketing and market access for small-holder produ","1. Marketing of fish improved_x000D_
_x000D_
2. Increase percentage of women fish producers_x000D_
_x000D_
3. Locally based soya-based fish feed formula developed which could be used by smallholder farmers_x000D_
_x000D_
4. Number of smallholder fish farmers accessing loan for fish farming and marketing","1. Quantity of fish sold_x000D_
_x000D_
2. Fish feed",01/01/2008,09/30/2010,02/25/2010,"Zomba, Machinga, Mulanje, Thyolo"
115,115,Support to Vulnerable Groups to Achieve Food Security,European Union (EU),,,International Crop Research Institute for the Semi-Arid Tropics (ICRISAT),1249616,2,43040,"902,500",3,12/17/2007,CARE Malawi,01 774 637/738,,,7881,42558,Rural farmers,"P/Bag A189, Lilongwe",Cecily@caremalawi.org,"To improve crop production, diversify and increase income amongst 7881 vulnerable households in Kasungu District","1. Crop production_x000D_
_x000D_
2. Micro finance (village savings & loans)",". 7881 HH adopted drought tolerant legumes and cereals crop varieties combined with improved soil and water management technologies._x000D_
_x000D_
2. 150 Village savings and loans groups (VSLGs) established and operating well in target communities._x000D_
_x000D_
3. Strengthened capacity of selected local government and community institutions to support on-farm activities of the targeted groups","1. 50% of target HH adopting improved and diversified crop varieties, appropriate soil and water management techniques / practices by end of project_x000D_
_x000D_
2. 70% increase in the number of farmers that have access to high quality improved seeds varieties and/or planting materials by end of project_x000D_
_x000D_
3. 150 VSLGs established and operating well by year 3_x000D_
_x000D_
4. At least 1012 female and 113 male farmers secure loans from the VSL groups for agricultural production purposes_x000D_
_x000D_
5. 60% of VSLG members invest in new businesses and diversify their livelihood sources by end of project._x000D_
_x000D_
6. 20% of target households with HIV infected/chronically ill member included in VSLGs and carrying out productive enterprises by year 3._x000D_
_x000D_
7. At least 60 VDCs and 3 ADCs produce quality and timely annual plans which incorporate Food Security_x000D_
_x000D_
8. Annual VDC plan incorporated in local District Implementation Plans (as per decentralization policy)._x000D_
_x000D_
9. 50% of target HH report satisfaction of services received from local government staff and community institutions (including extension workers) by end of project._x000D_
_x000D_
10. 50% of target group demonstrate usage of  HIV/AIDS timeline in their planning and implementation of interventions",01/01/2008,12/31/2011,01/12/2010,Kasungu
116,116,Improvement of Irrigation Infrastructures within Agricultural Research Stations for Breeder Seed Multiplication and Irrigation Research Programmes,Malawi Government,,,,188150000,7,31183,"59,450,000",7,07/01/2006,Ministry of Agriculture and Food Security (MoAFS) – Department of Agriculture Research Services,01 707 011,01 707 374/041,www.moafsmw.org,250000,0,Smallholder Seed Producers,"P.O. Box 30779, Capital City, Lilongwe 3",Agric-research@sdnp.org.mw,"To rehabilitate/install irrigation infrastructure within Agricultural Research Stations for qualiy breeder seed production, drought simulation/irrigation research programmes in Malawi.","1. Support to production of basic and pre-basic seed_x000D_
_x000D_
2. Irrigation","1. Rehabilitation/construction of Chitedze, Bvumbwe, Chitala, Mbawa, Makoka, Mkondezi and Kasinthula dams_x000D_
_x000D_
2. Sprinkler irrigation kits installed at Bumbwe, Chitedze and Kasinthula_x000D_
_x000D_
3. Four canal lines constructed at Mbawa, Mkondezi, Chitala and Makoka_x000D_
_x000D_
4. 10 weather instrument kits, 10 water pumps, 10 tractors, 10 ploughs and harrows and 10 ridgers procured_x000D_
_x000D_
5. Rehabilitation of irrigation laboratory at Kasinthula","1. Quantity of breeder seed produced_x000D_
_x000D_
2. Number of Irrigation technologies to suit the type of crop_x000D_
_x000D_
3. Number of staff trained_x000D_
_x000D_
4. Number of Equipment",07/01/2007,06/30/2011,01/12/2010,"Lilongwe, Thyolo, Mzimba, Karonga, Salima"
117,117,Institutional Strengthening: Support to the Extension Delivery Systems (ISSEDS),Malawi Government,,,,1580947250,7,31181,"233,880,780",7,07/01/2006,Ministry of Agriculture and Food Security (MoAFS),01 789 033,01 789 218,www.moafsmw.org,0,2096,"Ministry’s staff (Extension Staff, scientists, planners)","P.O Box 30134, Capital City, Lilongwe",planning@globemw.net,To achieve an effective and efficient extension service delivery system in the agricultural sector,"1. Capacity building_x000D_
 _x000D_
2. Institutional rehabilitation _x000D_
_x000D_
3. Monitoring and evaluation","1. Training of 2096 AEDOS to Diploma Level, 195 enumerators and officers to Diploma level, 138 Agricultural Economists and Extension Officers to MSC level, 80 officers to BSC level Frontline staff trained _x000D_
_x000D_
2. 19 RTCs rehabilitated for in service training, Mikolongwe Training Centre and Land Resources Conservation Training Centre rehabilitated _x000D_
_x000D_
3. 3000 AEDO house rehabilitated_x000D_
_x000D_
4. New furniture and office equipment for EPAs and RDPs procured and distributed_x000D_
_x000D_
5. 20 motor bikes for AEDCs procured, 4000 bicycles for AEDOs procured","1. No. of staff trained _x000D_
_x000D_
2. Number of Training centres rehabilitated, furnished and operational_x000D_
_x000D_
3. Staff motivated",07/01/2006,06/30/2012,01/12/2010,"Lilongwe, Karonga, Mzimba, Salima, Machinga, Blantyre, Chikwawa"
118,118,Livestock Specialist Training,Malawi Government,,,,66950000,7,31181,"33,129,891",7,07/01/2006,Ministry of Agriculture and Food Security (MoAFS) – Department of Animal Health and Livestock Development (DAHLD),01 750 455,01 751 349,www.moafsmw.org,0,850,Technicians in the field of livestock development and animal health,"Box 2096, Lilongwe.",Agri-DAHI@sdnp.org.mw,To enhance capacity of livestock specialiststhrough training of Assistant Verteerinery Officers (AVOs) for efficient and effective livestockservice delivery.,"1. Capacity Building_x000D_
_x000D_
2. Rehabilitation of college buildings","1. 500 Certificate level graduates trained by project end_x000D_
_x000D_
2. 50 Diploma level animal health technicians graduates trained by project end_x000D_
 _x000D_
3. 100 Professional staff specialized in Animal Health, Dairy, Poultry, Animal Breeding and Animal Nutrition trained",1. Number of specialists trained,07/01/2006,06/30/2011,01/12/2010,Chiradzulu
